open_position_time	side_15775	side_15776	pnl_15775	pnl_15776	delta
2021-08-18 20:00:00	long	long	-3.50003248	-3.50003248	0.00000000
2021-08-19 20:00:00	long	long	2.16419050	2.16419050	0.00000000
2021-08-25 16:00:00	short	short	-1.48251856	-1.48251856	0.00000000
2021-08-28 04:00:00	long	long	-1.26690977	-1.26690977	0.00000000
2021-08-29 08:00:00	long	long	1.89711978	1.89711978	0.00000000
2021-08-30 08:00:00	short	short	-2.00325712	-2.00325712	0.00000000
2021-09-02 04:00:00	long	long	1.82392432	1.82392432	0.00000000
2021-09-06 08:00:00	short	short	-1.20980788	-1.20980788	0.00000000
2021-09-06 16:00:00	short	short	-1.01303204	-1.01303204	0.00000000
2021-09-07 04:00:00	short	short	14.49022057	14.49022057	0.00000000
2021-09-08 08:00:00	short	short	-4.47292582	-4.47292582	0.00000000
2021-09-10 12:00:00	short	short	-1.06551379	-1.06551379	0.00000000
2021-09-12 16:00:00	long	long	-3.60262142	-3.60262142	0.00000000
2021-09-15 04:00:00	long	long	3.04885301	3.04885301	0.00000000
2021-09-18 08:00:00	long	long	-1.62420684	-1.62420684	0.00000000
2021-09-20 20:00:00	long	long	-4.15886774	-4.15886774	0.00000000
2021-09-21 08:00:00	long	long	-3.98960182	-3.98960182	0.00000000
2021-09-26 08:00:00	short	short	-1.88803048	-1.88803048	0.00000000
2021-09-26 16:00:00	long	long	-3.75038218	-3.75038218	0.00000000
2021-09-28 20:00:00	short	short	-2.61763035	-2.61763035	0.00000000
2021-09-29 20:00:00	short	short	-2.18750256	-2.18750256	0.00000000
2021-10-01 16:00:00	long	long	6.49398316	6.49398316	0.00000000
2021-10-06 00:00:00	short	short	1.74574609	1.74574609	0.00000000
2021-10-06 20:00:00	long	long	-3.73752970	-3.73752970	0.00000000
2021-10-07 12:00:00	long	long	-2.38516607	-2.38516607	0.00000000
2021-10-08 16:00:00	short	short	0.98144144	0.98144144	0.00000000
2021-10-09 20:00:00	short	short	0.64805759	0.64805759	0.00000000
2021-10-10 20:00:00	long	long	-3.55465659	-3.55465659	0.00000000
2021-10-14 04:00:00	long	long	10.26953270	10.26953270	0.00000000
2021-11-02 20:00:00	long	long	-0.11587945	-0.11587945	0.00000000
2021-11-04 20:00:00	short	short	-2.24575759	-2.24575759	0.00000000
2021-11-08 08:00:00	long	long	-0.42580456	-0.42580456	0.00000000
2021-11-11 00:00:00	short	short	1.67696170	1.67696170	0.00000000
2021-11-14 16:00:00	long	long	0.48589335	0.48589335	0.00000000
2021-11-14 20:00:00	short	short	0.69198898	0.69198898	0.00000000
2021-11-15 04:00:00	long	long	1.06709171	1.06709171	0.00000000
2021-11-15 20:00:00	short	short	9.28337079	9.28337079	0.00000000
2021-11-21 00:00:00	long	long	-4.39151571	-4.39151571	0.00000000
2021-11-29 00:00:00	long	long	8.91535029	8.91535029	0.00000000
2021-12-03 20:00:00	short	short	15.17893570	15.17893570	0.00000000
2021-12-07 04:00:00	long	long	-1.55135908	-1.55135908	0.00000000
2021-12-08 20:00:00	long	long	-1.31315658	-1.31315658	0.00000000
2021-12-09 08:00:00	short	short	6.05235707	6.05235707	0.00000000
2021-12-13 00:00:00	long	long	-3.62914721	-3.62914721	0.00000000
2021-12-13 20:00:00	short	short	-5.03590076	-5.03590076	0.00000000
2021-12-16 00:00:00	long	long	-4.83093960	-4.83093960	0.00000000
2021-12-18 08:00:00	long	long	2.83849639	2.83849639	0.00000000
2021-12-21 20:00:00	short	short	-1.47188698	-1.47188698	0.00000000
2021-12-26 04:00:00	short	short	0.99808205	0.99808205	0.00000000
2021-12-26 08:00:00	short	short	-2.44596881	-2.44596881	0.00000000
2021-12-27 12:00:00	short	short	-0.85102454	-0.85102454	0.00000000
2021-12-27 20:00:00	long	long	-0.46313135	-0.46313135	0.00000000
2021-12-28 00:00:00	short	short	0.73529785	0.73529785	0.00000000
2021-12-31 16:00:00	long	long	-1.81691913	-1.81691913	0.00000000
2022-01-01 00:00:00	short	short	-4.53350424	-4.53350424	0.00000000
2022-01-03 08:00:00	short		-1.24529879	0.00000000	1.24529879
2022-01-03 20:00:00	short	short	-1.44683769	-1.46389814	-0.01706045
2022-01-06 00:00:00	short	short	5.68535299	5.75239206	0.06703907
2022-01-07 20:00:00	short	short	-3.40131645	-3.44142321	-0.04010676
2022-01-09 00:00:00	short	short	-4.33238095	-4.38346639	-0.05108544
2022-01-10 20:00:00	long	long	9.20700789	9.31557269	0.10856480
2022-01-14 20:00:00	short	short	2.51249079	2.54211693	0.02962614
2022-01-16 20:00:00	long	long	-1.44792765	-1.46500094	-0.01707329
2022-01-19 00:00:00	long	long	-2.42611400	-2.45472162	-0.02860762
2022-01-24 16:00:00	long	long	-3.37576532	-3.41557079	-0.03980547
2022-01-28 04:00:00	long	long	8.59280302	8.69412540	0.10132238
2022-02-03 16:00:00	short	short	-2.24058184	-2.26700175	-0.02641991
2022-02-04 04:00:00	long	long	4.42197347	4.47411535	0.05214188
2022-02-04 12:00:00	short	short	4.96088252	5.01937897	0.05849645
