open_position_time	option_type	pnl_15747	pnl_15776	delta
2021-08-18 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-08-19 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-08-25 16:00:00	short	0.00000000	0.00000000	0.00000000
2021-08-28 04:00:00	long	0.00000000	0.00000000	0.00000000
2021-08-29 08:00:00	long	0.00000000	0.00000000	0.00000000
2021-08-30 08:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-02 04:00:00	long	0.00000000	0.00000000	0.00000000
2021-09-06 08:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-06 16:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-07 04:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-08 08:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-10 12:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-12 16:00:00	long	0.00000000	0.00000000	0.00000000
2021-09-15 04:00:00	long	0.00000000	0.00000000	0.00000000
2021-09-18 08:00:00	long	0.00000000	0.00000000	0.00000000
2021-09-20 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-09-21 08:00:00	long	0.00000000	0.00000000	0.00000000
2021-09-26 08:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-26 16:00:00	long	0.00000000	0.00000000	0.00000000
2021-09-28 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-09-29 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-10-01 16:00:00	long	0.00000000	0.00000000	0.00000000
2021-10-06 00:00:00	short	0.00000000	0.00000000	0.00000000
2021-10-06 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-10-07 12:00:00	long	0.00000000	0.00000000	0.00000000
2021-10-08 16:00:00	short	0.00000000	0.00000000	0.00000000
2021-10-09 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-10-10 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-10-14 04:00:00	long	0.00000000	0.00000000	0.00000000
2021-11-02 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-11-04 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-11-08 08:00:00	long	0.00000000	0.00000000	0.00000000
2021-11-11 00:00:00	short	0.00000000	0.00000000	0.00000000
2021-11-14 16:00:00	long	0.00000000	0.00000000	0.00000000
2021-11-14 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-11-15 04:00:00	long	0.00000000	0.00000000	0.00000000
2021-11-15 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-11-21 00:00:00	long	0.00000000	0.00000000	0.00000000
2021-11-29 00:00:00	long	0.00000000	0.00000000	0.00000000
2021-12-03 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-07 04:00:00	long	0.00000000	0.00000000	0.00000000
2021-12-08 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-12-09 08:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-13 00:00:00	long	0.00000000	0.00000000	0.00000000
2021-12-13 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-16 00:00:00	long	0.00000000	0.00000000	0.00000000
2021-12-18 08:00:00	long	0.00000000	0.00000000	0.00000000
2021-12-21 20:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-26 04:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-26 08:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-27 12:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-27 20:00:00	long	0.00000000	0.00000000	0.00000000
2021-12-28 00:00:00	short	0.00000000	0.00000000	0.00000000
2021-12-31 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-01-01 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-01-03 08:00:00	short	0.00000000	0.00000000	0.00000000
2022-01-03 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-01-06 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-01-07 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-01-09 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-01-10 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-01-14 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-01-16 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-01-19 00:00:00	long	0.00000000	0.00000000	0.00000000
2022-01-24 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-01-28 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-02-03 16:00:00	short	0.00000000	0.00000000	0.00000000
2022-02-04 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-02-04 12:00:00	short	0.00000000	0.00000000	0.00000000
2022-02-07 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-02-12 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-02-18 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-02-20 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-02-27 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-03-03 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-03-05 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-03-07 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-03-10 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-03-10 08:00:00	short	0.00000000	0.00000000	0.00000000
2022-03-13 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-03-18 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-03-27 08:00:00	short	0.00000000	0.00000000	0.00000000
2022-03-27 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-03-28 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-04-06 04:00:00	short	0.00000000	0.00000000	0.00000000
2022-04-08 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-04-11 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-04-13 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-04-16 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-04-18 12:00:00	short	0.00000000	0.00000000	0.00000000
2022-04-20 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-04-21 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-04-21 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-04-28 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-05-01 04:00:00	short	0.00000000	0.00000000	0.00000000
2022-05-08 08:00:00	short	0.00000000	0.00000000	0.00000000
2022-05-11 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-05-11 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-05-23 12:00:00	long	0.00000000	0.00000000	0.00000000
2022-05-30 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-06-01 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-06-06 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-06-10 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-06-24 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-06-26 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-06-30 00:00:00	long	0.00000000	0.00000000	0.00000000
2022-07-04 00:00:00	long	0.00000000	0.00000000	0.00000000
2022-07-04 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-07-05 16:00:00	short	0.00000000	0.00000000	0.00000000
2022-07-08 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-07-10 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-07-19 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-07-20 16:00:00	short	0.00000000	0.00000000	0.00000000
2022-07-25 04:00:00	short	0.00000000	0.00000000	0.00000000
2022-07-27 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-08-01 04:00:00	short	0.00000000	0.00000000	0.00000000
2022-08-02 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-08-17 12:00:00	short	0.00000000	0.00000000	0.00000000
2022-08-18 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-08-21 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-09-01 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-09-03 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-09-07 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-09-13 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-09-15 16:00:00	short	0.00000000	0.00000000	0.00000000
2022-09-19 00:00:00	long	0.00000000	0.00000000	0.00000000
2022-10-07 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-11 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-14 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-14 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-17 12:00:00	long	0.00000000	0.00000000	0.00000000
2022-10-20 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-21 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-21 20:00:00	long	0.00000000	0.00000000	0.00000000
2022-10-24 00:00:00	long	0.00000000	0.00000000	0.00000000
2022-10-24 04:00:00	long	0.00000000	0.00000000	0.00000000
2022-10-28 04:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-29 08:00:00	short	0.00000000	0.00000000	0.00000000
2022-10-31 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-11-03 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-11-07 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-11-08 04:00:00	short	0.00000000	0.00000000	0.00000000
2022-11-13 12:00:00	short	0.00000000	0.00000000	0.00000000
2022-11-13 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-12-02 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-04 04:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-07 12:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-12 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-13 16:00:00	long	0.00000000	0.00000000	0.00000000
2022-12-16 16:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-19 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-12-20 08:00:00	long	0.00000000	0.00000000	0.00000000
2022-12-23 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-25 20:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-26 00:00:00	short	0.00000000	0.00000000	0.00000000
2022-12-29 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-01-05 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-01-06 20:00:00	long	0.00000000	0.00000000	0.00000000
2023-01-08 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-01-09 00:00:00	short	0.00000000	0.00000000	0.00000000
2023-01-11 04:00:00	short	0.00000000	0.00000000	0.00000000
2023-01-11 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-01-12 00:00:00	long	0.00000000	0.00000000	0.00000000
2023-01-12 04:00:00	long	0.00000000	0.00000000	0.00000000
2023-01-17 20:00:00	short	0.00000000	0.00000000	0.00000000
2023-01-21 00:00:00	long	0.00000000	0.00000000	0.00000000
