"symbol","signal_time_shanghai","entry_time_shanghai","exit_time_shanghai","direction","exit_policy","exit_reason","zero_net_r","stress_net_r","cost_r","loss_class","initial_risk","entry_price","exit_price","rsi","volume_ratio","families"
"SATS-USDT-SWAP","2026-02-16 01:45","2026-02-16 02:00","2026-02-16 02:00","long","DivergenceRegime","stop_loss",-1.0,-1.1444403100775187,0.14444031007751867,"gross_loss",1.290000000000007E-10,1.171E-8,1.1581E-8,24.492227324171154,12.791138774835481,"rsi_bullish_divergence"
"FLOW-USDT-SWAP","2026-05-28 11:15","2026-05-28 11:30","2026-05-28 12:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1441142857142845,0.14411428571428453,"gross_loss",0.0003500000000000031,0.0317,0.031349999999999996,26.413803904926837,21.13947361464786,"rsi_bullish_divergence"
"ONE-USDT-SWAP","2025-08-06 04:00","2025-08-06 04:15","2025-08-06 05:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.142888495575221,0.142888495575221,"gross_loss",0.00011300000000000025,0.010148,0.010035,35.12411665444944,5.558025269068788,"rsi_bullish_divergence"
"YGG-USDT-SWAP","2026-02-16 01:45","2026-02-16 02:00","2026-02-16 04:00","long","DivergenceRegime","stop_loss",-1.0,-1.1428444444444448,0.14284444444444477,"gross_loss",0.000449999999999999,0.0404,0.03995,28.42978736311278,6.294022875753227,"rsi_bullish_divergence"
"ORDI-USDT-SWAP","2026-02-04 22:30","2026-02-04 22:45","2026-02-04 22:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.141828571428571,0.14182857142857097,"gross_loss",0.03500000000000014,3.12,3.085,37.08299586361621,6.763874665662153,"rsi_bullish_divergence"
"TURBO-USDT-SWAP","2026-02-04 22:30","2026-02-04 22:45","2026-02-04 22:45","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1417882352941189,0.14178823529411888,"gross_loss",0.000013599999999999897,0.001212,0.0011984,36.296165889770315,6.4151664730933025,"rsi_bullish_divergence"
"RSR-USDT-SWAP","2026-04-19 00:15","2026-04-19 00:30","2026-04-19 01:00","long","DivergenceRegime","stop_loss",-1.0,-1.1411789473684217,0.14117894736842174,"gross_loss",0.00001899999999999992,0.001686,0.001667,35.00500446896305,7.480683065706467,"rsi_bullish_divergence"
"ONT-USDT-SWAP","2025-07-29 01:15","2025-07-29 01:30","2025-07-29 02:00","long","DivergenceRegime","stop_loss",-1.0,-1.1405975903614463,0.14059759036144626,"gross_loss",0.0016599999999999948,0.1467,0.14504,26.235378938978528,5.0085575663769495,"rsi_bullish_divergence"
"BCH-USDT-SWAP","2026-06-18 22:45","2026-06-18 23:00","2026-06-18 23:30","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1405565217391298,0.1405565217391298,"gross_loss",2.3000000000000114,203.2,200.89999999999998,28.339769739305297,3.6794774622580415,"rsi_bullish_divergence"
"YGG-USDT-SWAP","2026-01-31 21:15","2026-01-31 21:30","2026-01-31 22:00","long","CounterTrendStructureV4","stop_loss",-1.0,-1.1403368421052629,0.14033684210526287,"gross_loss",0.0005700000000000011,0.05028,0.04971,36.015417680111035,3.7858505453197844,"rsi_bullish_divergence"
