signal_time	open_position_time	baseline_close	baseline_pnl	tp_close	tp_pnl	tp_delta	breakeven_close	breakeven_pnl	breakeven_delta
2021-08-25 00:00:00	2021-08-19 20:00:00	2021-08-25 16:00:00	2.16	2021-08-25 16:00:00	2.16	0.00	2021-08-25 16:00:00	2.16	0.00
2023-01-25 00:00:00	2023-01-21 00:00:00	2023-01-25 04:00:00	-16.08	2023-01-25 04:00:00	-16.08	0.00	2023-01-25 04:00:00	-16.08	0.00
2023-02-20 08:00:00	2023-02-20 00:00:00	2023-02-20 08:00:00	7.23	2023-02-20 08:00:00	7.23	0.00	2023-02-20 08:00:00	7.23	0.00
2023-12-26 16:00:00	2023-12-23 00:00:00	2023-12-27 04:00:00	27.59	2023-12-26 16:00:00	23.23	-4.36	2023-12-27 04:00:00	27.59	0.00
2024-06-04 12:00:00	2024-05-31 20:00:00	2024-06-08 00:00:00	47.89	2024-06-04 12:00:00	-9.25	-57.14	2024-06-04 16:00:00	0.00	-47.89
2025-07-13 04:00:00	2025-07-11 16:00:00	2025-07-14 08:00:00	-64.28	2025-07-13 04:00:00	46.56	110.85	2025-07-13 20:00:00	0.00	64.28
2025-08-25 16:00:00	2025-08-25 00:00:00	2025-08-29 04:00:00	337.47	2025-08-25 16:00:00	240.39	-97.08	2025-08-29 04:00:00	342.79	5.32
2025-09-02 00:00:00	2025-08-30 08:00:00	2025-09-02 20:00:00	-79.31	2025-09-02 20:00:00	-79.09	0.22	2025-09-02 20:00:00	-80.55	-1.25
2025-10-23 04:00:00	2025-10-22 04:00:00	2025-10-24 12:00:00	-103.73	2025-10-23 04:00:00	100.34	204.07	2025-10-23 12:00:00	0.00	103.73
